DATA_YEAR,SUSPECTED_DRUG_TYPE_ID,PROPERTY_ID,EST_DRUG_QTY,DRUG_MEASURE_TYPE_ID,NIBRS_SUSPECTED_DRUG_ID
2019,1,113177129,1,11,10789554
2019,1,113172869,1,1,10793603
2019,4,113172869,1,1,10793604
2019,2,113166977,9.002,1,10789586
2019,8,113177731,23.004,1,10793660
2019,16,113177731,30.005,1,10793661
2019,5,113173533,8,1,10793662
2019,5,113178946,0.31,4,10797760
2019,8,113178946,62,9,10789613
2019,2,113178946,14.5,1,10793720
2019,5,113169679,1,1,10797424
2019,2,113170157,0.6,1,10793413
2019,4,113170200,3,9,10797482
2019,15,113171332,15,9,10793478
2019,2,113171342,1,9,10793484
2019,8,113177495,15,9,10797673
2019,8,113173452,2,9,10797695
2019,16,113173452,4,9,10797696
2019,4,113174116,4,9,10793688
2019,8,113174116,1,9,10793689
2019,2,113184240,1,9,10793736
2019,18,113184240,,,10797764
2019,4,113184240,1,9,10793737
2019,4,113180214,19,9,10793747
2019,4,115557113,2,1,11236562
2019,1,115557117,1,11,11241586
2019,1,123675900,,,13638740
2019,4,123669241,1,1,13638781
2019,16,123669241,1,1,13638782
2019,4,123669294,37.4,1,13638785
2019,16,123669294,6,9,13638786
2019,4,123669436,1,1,13652628
2019,5,123684662,,,13638806
2019,4,123684768,1,9,13643718
2019,1,123685260,4,9,13638855
2019,8,123681781,4,9,13652682
2019,12,123676941,26.6,1,13652705
2019,4,113169654,1,1,10793360
2019,2,113169987,15.11,1,10793379
2019,5,113171374,1,3,10793486
2019,16,113171739,3,9,10793537
2019,8,123681978,208.4,1,13652706
2019,15,123676996,52,9,13643766
2019,2,123677019,77.4,1,13643768
2019,1,113173429,0.2,1,10793647
2019,2,113173517,0.3,1,10793657
2019,1,123677019,21.005,1,13638884
2019,2,113167732,1,11,10793744
2019,16,113180217,2,9,10793750
2019,4,113180217,2,9,10793749
2019,8,123677142,3,9,13643778
2019,8,113182485,1,11,10793952
2019,4,123682349,1,9,13652722
2019,4,123683085,1,9,13652767
2019,4,123683086,4,9,13652768
2019,5,123683123,4.45,3,13652772
2019,4,123683132,100,1,13638991
2019,8,123687243,1,11,13643824
2019,17,123677991,,,13639002
2019,8,123687400,1,1,13652786
2019,16,123687450,1,9,13639012
2019,4,123678206,0.38,1,13652793
2019,2,123687519,1,9,13639014
2019,1,123678301,1,9,13652802
2019,2,123687806,30,1,13652819
2019,4,123687806,107,1,13639031
